Tarih,dayOfWeek,Total Spending,Total Income,Discretionary Amount,Essential Amount,Share of Discretionary
1.11.2022,Tuesday,-143,2500,-103,-40,0.72027972
2.11.2022,Wednesday,-110,0,-110,0,1
3.11.2022,Thursday,-79.25,0,0,-79.25,0
4.11.2022,Friday,-188.4,750,-75,-113.4,0.398089172
5.11.2022,Saturday,-89.5,0,-25,-64.5,0.279329609
6.11.2022,Sunday,-160,2,-75,-85,0.46875
7.11.2022,Monday,-110,0,-50,-60,0.454545455
8.11.2022,Tuesday,-80.9,0,-20.9,-60,0.258343634
9.11.2022,Wednesday,-365.47,0,-305.47,-60,0.835827838
10.11.2022,Thursday,-135,0,-75,-60,0.555555556
11.11.2022,Friday,-1920.41,0,-1707.91,-212.5,0.889346546
13.11.2022,Sunday,-225,0,-75,-150,0.333333333
15.11.2022,Tuesday,-122.75,2600,-13,-109.75,0.105906314
16.11.2022,Wednesday,-159.9,0,-159.9,0,1
17.11.2022,Thursday,-179.45,0,-75,-104.45,0.417943717
18.11.2022,Friday,-84.5,0,0,-84.5,0
19.11.2022,Saturday,-132.25,0,-82,-50.25,0.620037807
20.11.2022,Sunday,-201.66,0,-75,-126.66,0.371913121
21.11.2022,Monday,-125.7,0,0,-125.7,0
22.11.2022,Tuesday,-113,0,-13,-100,0.115044248
23.11.2022,Wednesday,-254.9,0,-254.9,0,1
24.11.2022,Thursday,-109.75,0,0,-109.75,0
25.11.2022,Friday,-85.5,0,-85.5,0,1
26.11.2022,Saturday,-179.5,0,0,-179.5,0
27.11.2022,Sunday,-184.4,0,-184.4,0,1
28.11.2022,Monday,-31.25,0,-13.5,-17.75,0.432
29.11.2022,Tuesday,-154.6666667,0,-88,-66.66666667,0.568965517
30.11.2022,Wednesday,-141.6666667,0,-75,-66.66666667,0.529411765
1.12.2022,Thursday,-53,2500,-21.5,-31.5,0.405660377
2.12.2022,Friday,-201.2166667,0,-75,-126.2166667,0.372732544
3.12.2022,Saturday,-411.6666667,0,-195,-216.6666667,0.473684211
5.12.2022,Monday,-15,0,-15,0,1
6.12.2022,Tuesday,-322.6166667,0,-75,-247.6166667,0.23247404
7.12.2022,Wednesday,-337.84,0,-138,-199.84,0.408477386
8.12.2022,Thursday,-74.56666667,0,-7.9,-66.66666667,0.105945463
9.12.2022,Friday,-155,949.84,-75,-80,0.483870968
10.12.2022,Saturday,-234,0,-134.5,-99.5,0.574786325
11.12.2022,Sunday,-351.05,0,0,-351.05,0
12.12.2022,Monday,-361,0,-81,-280,0.224376731
13.12.2022,Tuesday,-155,0,-75,-80,0.483870968
14.12.2022,Wednesday,-95.5,0,-95.5,0,1
15.12.2022,Thursday,-259.49,0,0,-259.49,0
16.12.2022,Friday,-123,2000,0,-123,0
17.12.2022,Saturday,-192,0,-75,-117,0.390625
18.12.2022,Sunday,-88.5,0,-88.5,0,1
20.12.2022,Tuesday,-188,0,-88,-100,0.468085106
22.12.2022,Thursday,-171.38,0,-103.56,-67.82,0.60427121
23.12.2022,Friday,-109.75,0,0,-109.75,0
24.12.2022,Saturday,-228.85,0,0,-228.85,0
25.12.2022,Sunday,-234.95,0,0,-234.95,0
26.12.2022,Monday,-125,0,-75,-50,0.6
27.12.2022,Tuesday,-63,0,-13,-50,0.206349206
28.12.2022,Wednesday,-356.58,0,-270.93,-85.65,0.759801447
29.12.2022,Thursday,-125,0,-75,-50,0.6
30.12.2022,Friday,-456.6666667,0,-390,-66.66666667,0.854014599
31.12.2022,Saturday,-442,300,-442,0,1
1.01.2023,Sunday,-171.6666667,628,-105,-66.66666667,0.611650485
2.01.2023,Monday,-138.7266667,2500,0,-138.7266667,0
3.01.2023,Tuesday,-296.6266667,0,-211.96,-84.66666667,0.714568256
4.01.2023,Wednesday,-460.59,0,-210.59,-250,0.457217916
5.01.2023,Thursday,-151.8366667,0,0,-151.8366667,0
6.01.2023,Friday,-201.1666667,750,-75,-126.1666667,0.372825186
7.01.2023,Saturday,-93.5,0,-93.5,0,1
8.01.2023,Sunday,-158.25,0,-127.8,-30.45,0.807582938
9.01.2023,Monday,-155,0,-75,-80,0.483870968
10.01.2023,Tuesday,-111.9,0,0,-111.9,0
12.01.2023,Thursday,-94,0,-94,0,1
13.01.2023,Friday,-155.28,0,0,-155.28,0
14.01.2023,Saturday,-184.75,0,-75,-109.75,0.405953992
15.01.2023,Sunday,-120,0,-120,0,1
16.01.2023,Monday,-134,0,0,-134,0
17.01.2023,Tuesday,-94.5,0,-15,-79.5,0.158730159
18.01.2023,Wednesday,-221.5,0,-221.5,0,1
19.01.2023,Thursday,-150,0,0,-150,0
20.01.2023,Friday,-219,0,-49,-170,0.223744292
21.01.2023,Saturday,-286,0,0,-286,0
16.02.2023,Thursday,-184,0,-124,-60,0.673913043
23.02.2023,Thursday,-65.8,0,0,-65.8,0
24.02.2023,Friday,-165,0,-165,0,1
27.02.2023,Monday,-334.09,0,-274.09,-60,0.820407675
28.02.2023,Tuesday,-648,0,0,-648,0
1.03.2023,Wednesday,-100,2500,-40,-60,0.4
4.03.2023,Saturday,-141.5,0,-125,-16.5,0.883392226
6.03.2023,Monday,-60,750,0,-60,0
8.03.2023,Wednesday,-67.9,0,-7.9,-60,0.11634757
10.03.2023,Friday,-210,0,0,-210,0
12.03.2023,Sunday,-129.9,0,-129.9,0,1
13.03.2023,Monday,-339.4,0,0,-339.4,0
15.03.2023,Wednesday,-175,0,-75,-100,0.428571429
16.03.2023,Thursday,-175,0,-75,-100,0.428571429
17.03.2023,Friday,-211.75,0,-67,-144.75,0.316410862
18.03.2023,Saturday,-250,0,0,-250,0
19.03.2023,Sunday,-102.5,0,0,-102.5,0
20.03.2023,Monday,-150,0,-75,-75,0.5
21.03.2023,Tuesday,-197,0,-197,0,1
22.03.2023,Wednesday,-215.75,2000,0,-215.75,0
23.03.2023,Thursday,-330.8,0,0,-330.8,0
24.03.2023,Friday,-150,0,-75,-75,0.5
25.03.2023,Saturday,-244,0,-244,0,1
26.03.2023,Sunday,-25,0,-25,0,1
27.03.2023,Monday,-352.04,0,-277.04,-75,0.786956028
28.03.2023,Tuesday,-378.5,0,-228.5,-150,0.603698811
30.03.2023,Thursday,-40,0,-40,0,1
31.03.2023,Friday,-225,0,-75,-150,0.333333333
1.04.2023,Saturday,-200,0,-140,-60,0.7
2.04.2023,Sunday,-180.2,0,0,-180.2,0
3.04.2023,Monday,-60,2500,0,-60,0
4.04.2023,Tuesday,-179.8,0,-179.8,0,1
5.04.2023,Wednesday,-135,0,-75,-60,0.555555556
6.04.2023,Thursday,-563.2,0,-382.75,-180.45,0.679598722
7.04.2023,Friday,-135,750,-75,-60,0.555555556
8.04.2023,Saturday,-267.9,0,-207.9,-60,0.776035834
9.04.2023,Sunday,-60,0,0,-60,0
10.04.2023,Monday,-171.59,0,-75,-96.59,0.437088408
11.04.2023,Tuesday,-310,180,-310,0,1
13.04.2023,Thursday,-465,0,-115,-350,0.247311828
15.04.2023,Saturday,-160,0,-160,0,1
17.04.2023,Monday,-219.32,0,-159.32,-60,0.726427138
20.04.2023,Thursday,-60,400,0,-60,0
21.04.2023,Friday,-993.85,0,-933.85,-60,0.939628717
22.04.2023,Saturday,-60,1000,0,-60,0
23.04.2023,Sunday,-65.8,0,0,-65.8,0
25.04.2023,Tuesday,-330.79,0,-135,-195.79,0.408113909
27.04.2023,Thursday,-353.76,0,-293.76,-60,0.830393487
29.04.2023,Saturday,-2849.75,0,-2789.75,-60,0.978945522
1.05.2023,Monday,-130,0,-130,0,1
2.05.2023,Tuesday,-148,2500,0,-148,0
3.05.2023,Wednesday,-86.66666667,0,-20,-66.66666667,0.230769231
4.05.2023,Thursday,-141.6666667,0,-75,-66.66666667,0.529411765
5.05.2023,Friday,-1191,750,-1173,-18,0.98488665
6.05.2023,Saturday,-216.6666667,0,0,-216.6666667,0
7.05.2023,Sunday,-219,715,-140,-79,0.639269406
8.05.2023,Monday,-103.9,0,-103.9,0,1
9.05.2023,Tuesday,-151.95,0,-74,-77.95,0.487002303
10.05.2023,Wednesday,-91,0,-91,0,1
11.05.2023,Thursday,-515,0,-115,-400,0.223300971
12.05.2023,Friday,-129.5,0,-129.5,0,1
13.05.2023,Saturday,-220,0,-220,0,1
20.05.2023,Saturday,-250,0,-200,-50,0.8
23.05.2023,Tuesday,-97.12,0,-41.32,-55.8,0.425453048
26.05.2023,Friday,-449.8,0,-399.8,-50,0.888839484
27.05.2023,Saturday,-86.5,0,0,-86.5,0
29.05.2023,Monday,-215,250,-215,0,1
30.05.2023,Tuesday,-50,700,0,-50,0
31.05.2023,Wednesday,-128.5,0,0,-128.5,0
1.06.2023,Thursday,-175,2500,-75,-100,0.428571429
